"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"104",6.3,2.9,5.6,1.8,"virginica"
"105",6.5,3,5.8,2.2,"virginica"
"106",7.6,3,6.6,2.1,"virginica"
"107",4.9,2.5,4.5,1.7,"virginica"
"108",7.3,2.9,6.3,1.8,"virginica"
"109",6.7,2.5,5.8,1.8,"virginica"
"110",7.2,3.6,6.1,2.5,"virginica"
"111",6.5,3.2,5.1,2,"virginica"
"112",6.4,2.7,5.3,1.9,"virginica"
"113",6.8,3,5.5,2.1,"virginica"
"114",5.7,2.5,5,2,"virginica"
"115",5.8,2.8,5.1,2.4,"virginica"
"116",6.4,3.2,5.3,2.3,"virginica"
"117",6.5,3,5.5,1.8,"virginica"
"118",7.7,3.8,6.7,2.2,"virginica"
"119",7.7,2.6,6.9,2.3,"virginica"
"120",6,2.2,5,1.5,"virginica"
"121",6.9,3.2,5.7,2.3,"virginica"
"122",5.6,2.8,4.9,2,"virginica"
"123",7.7,2.8,6.7,2,"virginica"
"124",6.3,2.7,4.9,1.8,"virginica"
"125",6.7,3.3,5.7,2.1,"virginica"
"126",7.2,3.2,6,1.8,"virginica"
"127",6.2,2.8,4.8,1.8,"virginica"
"128",6.1,3,4.9,1.8,"virginica"
"129",6.4,2.8,5.6,2.1,"virginica"
"130",7.2,3,5.8,1.6,"virginica"
"131",7.4,2.8,6.1,1.9,"virginica"
"132",7.9,3.8,6.4,2,"virginica"
"133",6.4,2.8,5.6,2.2,"virginica"
"134",6.3,2.8,5.1,1.5,"virginica"
"135",6.1,2.6,5.6,1.4,"virginica"
"136",7.7,3,6.1,2.3,"virginica"
"137",6.3,3.4,5.6,2.4,"virginica"
"138",6.4,3.1,5.5,1.8,"virginica"
"139",6,3,4.8,1.8,"virginica"
"140",6.9,3.1,5.4,2.1,"virginica"
"141",6.7,3.1,5.6,2.4,"virginica"
"142",6.9,3.1,5.1,2.3,"virginica"
"143",5.8,2.7,5.1,1.9,"virginica"
"144",6.8,3.2,5.9,2.3,"virginica"
"145",6.7,3.3,5.7,2.5,"virginica"
"146",6.7,3,5.2,2.3,"virginica"
"147",6.3,2.5,5,1.9,"virginica"
"148",6.5,3,5.2,2,"virginica"
"149",6.2,3.4,5.4,2.3,"virginica"
"150",5.9,3,5.1,1.8,"virginica"
"151",6.32,4,2.25,0.63,"mythica"
"152",6.24,3.62,2.64,0.56,"mythica"
"153",6.41,3.04,1.85,0.85,"mythica"
"154",6.06,3.04,2.71,0.94,"mythica"
"155",6.68,3.07,2.24,0.81,"mythica"
"156",6.63,3.61,2.51,0.52,"mythica"
"157",6.59,3.88,2.48,0.85,"mythica"
"158",6.06,3.68,2.56,0.76,"mythica"
"159",6.04,3.01,1.69,0.58,"mythica"
"160",6.7,3.23,3.14,0.53,"mythica"
"161",6.06,3.26,1.99,0.77,"mythica"
"162",6.08,3.44,2.08,0.59,"mythica"
"163",6.53,3.45,3.39,0.56,"mythica"
"164",6.17,3.19,2.25,0.64,"mythica"
"165",6.15,3.59,2.54,0.82,"mythica"
"166",6.03,3.89,1.81,0.8,"mythica"
"167",6.54,3.12,1.67,0.55,"mythica"
"168",6.4,3.66,3.37,0.51,"mythica"
"169",6.48,3.67,1.72,0.8,"mythica"
"170",6.5,3.33,1.75,0.72,"mythica"
"171",6.4,3.17,1.7,0.63,"mythica"
"172",6.72,3.99,2.72,0.75,"mythica"
"173",6.47,3.07,1.78,0.73,"mythica"
"174",6.81,3.69,3.09,0.52,"mythica"
"175",6.25,3.5,3.47,0.62,"mythica"
"176",6.24,3.03,1.99,0.84,"mythica"
"177",6.3,3.33,2.24,0.65,"mythica"
"178",6.82,3.1,1.73,0.6,"mythica"
"179",6.26,3.89,2.76,0.52,"mythica"
"180",6.76,3.38,3.05,0.74,"mythica"
"181",6.41,3.65,2.43,0.95,"mythica"
"182",6.52,3.72,3.4,0.89,"mythica"
"183",6.63,3.42,1.84,0.57,"mythica"
"184",6.36,3.54,1.72,0.83,"mythica"
"185",6.39,3.63,2.9,0.8,"mythica"
"186",6.37,3.39,2.83,0.77,"mythica"
"187",6.13,3.3,2.62,0.62,"mythica"
"188",6.81,3.95,2.09,0.97,"mythica"
"189",6.42,3.3,2.97,0.55,"mythica"
"190",6.86,3.39,3.28,0.79,"mythica"
"191",6.98,3.43,1.53,0.96,"mythica"
"192",6.37,3.53,2.4,0.77,"mythica"
"193",6.07,3.96,2.4,0.67,"mythica"
"194",6.82,3.49,1.79,0.88,"mythica"
"195",6.37,3.11,2.22,0.76,"mythica"
"196",6.64,3.11,2.85,0.67,"mythica"
"197",6.39,3.06,2.65,0.91,"mythica"
"198",6.53,3.59,2.57,0.68,"mythica"
"199",6.08,3.55,3.48,0.73,"mythica"
"200",6.06,3.55,2.44,0.71,"mythica"
